id,language,question,answer,topic
1,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
2,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
3,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
4,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
5,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
6,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
7,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
8,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
9,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
10,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
11,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
12,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
13,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
14,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
15,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
16,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
17,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
18,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
19,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
20,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
21,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
22,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
23,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
24,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
25,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
26,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
27,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
28,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
29,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
30,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
31,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
32,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
33,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
34,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
35,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
36,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
37,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
38,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
39,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
40,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
41,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
42,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
43,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
44,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
45,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
46,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
47,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
48,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
49,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
50,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
51,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
52,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
53,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
